room_type,price,review_scores_rating,accommodates,bedrooms,beds,bed_type,host_is_superhost,bathrooms,availability_365,number_of_reviews,city_normalized,distance_to_city
Private Room,814.74,89.0,1.9,1.7,2.9,Couch,0,1.2,211,155.6,Chicago,18.730799
Private Room,306.33,95.5,1.6,1.3,4.0,Real Bed,0,1.7,223,416.5,New York,45.952983
Hotel Room,833.8,69.1,1.5,2.3,4.3,Airbed,1,1.8,352,115.5,New York,29.602279
Hotel Room,523.34,81.5,4.4,1.9,4.0,Pull-out Sofa,1,2.1,261,256.4,Los Angeles,32.976933
Entire Home/Apt,123.21,71.5,4.0,4.6,1.6,Couch,0,3.0,219,340.6,Seattle,48.065263
Entire Home/Apt,105.62,71.9,7.5,1.2,3.5,Real Bed,0,1.4,7,65.0,Los Angeles,41.287667
Hotel Room,367.53,65.5,7.7,1.7,1.3,Airbed,0,1.8,13,466.2,Chicago,7.861715
Private Room,795.65,88.1,1.5,3.2,3.8,Pull-out Sofa,0,1.3,129,130.3,Seattle,1.255827
Private Room,722.3,96.8,3.0,2.9,2.5,Airbed,1,2.2,21,159.4,Seattle,16.120782
Entire Home/Apt,799.18,97.0,3.5,1.2,1.5,Pull-out Sofa,0,2.5,224,333.1,New York,24.938342
Hotel Room,541.41,58.7,5.9,1.0,4.4,Real Bed,0,2.0,234,39.1,Seattle,36.875345
Entire Home/Apt,468.19,93.7,2.3,5.0,3.5,Airbed,0,1.5,340,313.8,Chicago,33.391371
Entire Home/Apt,190.08,86.9,2.2,3.6,2.4,Airbed,0,2.2,198,458.0,Chicago,16.329952
Shared Room,361.78,62.6,9.5,2.5,1.1,Futon,1,2.1,133,124.5,Chicago,27.557803
Shared Room,462.32,53.4,8.2,2.9,3.1,Couch,0,1.3,177,181.0,San Francisco,32.895732
Shared Room,134.17,63.4,2.6,2.1,4.7,Airbed,1,1.8,43,116.2,Seattle,26.17376
Private Room,259.58,95.6,4.7,2.4,3.4,Pull-out Sofa,1,1.9,7,409.4,Seattle,34.759741
Hotel Room,618.31,81.7,4.2,3.6,4.9,Couch,1,3.0,279,83.8,Chicago,24.775694
Hotel Room,748.88,86.1,8.1,4.5,1.5,Real Bed,1,2.7,26,173.3,New York,26.954565
Hotel Room,998.43,62.9,5.6,1.7,3.3,Couch,1,2.5,50,300.5,Seattle,47.097989
Hotel Room,936.46,86.0,2.2,4.4,4.2,Futon,0,2.8,68,202.3,San Francisco,20.068748
Shared Room,660.44,51.4,7.7,1.5,3.1,Real Bed,1,2.5,280,32.7,Seattle,38.029659
Private Room,450.19,68.8,4.6,1.9,1.4,Airbed,0,2.8,43,473.9,Los Angeles,17.399151
Private Room,654.37,81.3,3.4,1.1,3.3,Real Bed,0,1.1,174,169.0,San Francisco,17.260872
Shared Room,796.37,57.3,4.4,1.6,3.4,Real Bed,1,1.9,118,222.8,New York,46.406908
Private Room,162.42,91.2,5.5,4.7,3.9,Futon,1,2.5,364,83.8,San Francisco,35.234904
Shared Room,439.41,61.8,4.1,2.8,4.0,Pull-out Sofa,0,2.2,268,432.7,San Francisco,46.518956
Hotel Room,847.81,82.6,3.2,1.3,4.1,Real Bed,1,1.4,180,145.7,Seattle,49.734492
Shared Room,414.64,70.3,4.6,4.8,3.7,Pull-out Sofa,1,1.7,52,9.9,San Francisco,1.009955
Hotel Room,593.28,79.8,1.2,4.5,1.9,Couch,1,1.6,292,158.2,Chicago,49.174362
Hotel Room,608.38,55.4,8.0,4.0,2.6,Futon,0,1.5,190,492.0,San Francisco,5.942665
Entire Home/Apt,225.25,50.8,2.5,4.7,4.1,Airbed,0,1.7,193,73.4,Seattle,4.450163
Shared Room,394.12,95.5,1.4,1.9,4.8,Real Bed,1,2.0,39,15.6,Chicago,38.62268
Entire Home/Apt,367.79,63.5,6.9,4.3,1.3,Pull-out Sofa,1,2.7,77,289.1,New York,18.159045
Shared Room,74.89,91.0,8.0,3.8,3.1,Real Bed,1,2.5,188,185.8,Los Angeles,45.972785
Shared Room,72.98,100.0,8.3,4.5,2.3,Futon,0,2.7,94,397.5,San Francisco,27.680822
Entire Home/Apt,840.11,60.6,5.4,4.2,1.9,Airbed,1,2.8,24,365.9,Chicago,19.919471
Entire Home/Apt,309.42,63.3,2.8,2.4,3.0,Couch,1,1.8,102,92.7,Chicago,4.598431
Shared Room,542.17,83.1,7.6,4.1,3.4,Couch,1,1.7,301,282.3,New York,23.767157
Private Room,333.79,98.3,7.3,2.0,1.0,Pull-out Sofa,1,1.1,158,16.2,New York,14.616989
Hotel Room,943.65,95.8,3.2,2.3,4.1,Couch,0,2.9,357,219.7,Los Angeles,4.754042
Entire Home/Apt,296.33,75.1,9.1,1.4,4.3,Pull-out Sofa,1,1.1,207,357.0,Los Angeles,33.849038
Hotel Room,458.17,89.8,1.9,4.7,4.9,Airbed,1,2.5,346,207.5,Seattle,48.889507
Private Room,879.09,56.8,9.8,2.2,1.7,Real Bed,0,1.8,93,59.0,Los Angeles,19.56681
Private Room,849.84,98.9,8.7,3.1,3.4,Futon,1,2.9,323,30.8,Los Angeles,15.565981
Private Room,226.8,98.2,7.2,2.6,2.7,Airbed,1,1.8,38,426.8,Chicago,5.408049
Entire Home/Apt,812.51,58.2,9.4,4.8,2.3,Airbed,0,2.6,335,445.7,San Francisco,11.934116
Private Room,485.28,65.0,7.5,2.3,3.3,Couch,1,1.6,163,171.5,San Francisco,14.96364
Entire Home/Apt,508.82,55.0,2.7,4.1,4.1,Couch,0,1.6,340,82.1,Los Angeles,17.864605
Private Room,176.81,63.6,5.0,4.4,1.1,Futon,1,2.2,321,489.3,Seattle,32.064385
Hotel Room,126.57,90.8,1.6,2.7,4.9,Real Bed,1,3.0,54,272.9,Seattle,6.628761
Hotel Room,741.54,68.9,4.5,2.5,4.2,Airbed,1,2.0,71,238.3,San Francisco,3.862772
Shared Room,521.64,54.4,7.7,4.0,4.0,Couch,0,2.9,41,370.8,New York,46.598509
Hotel Room,465.01,67.1,4.5,4.7,4.0,Airbed,1,2.6,325,84.4,Chicago,40.160246
Shared Room,743.03,99.1,4.0,4.0,2.6,Real Bed,0,2.6,131,290.0,Los Angeles,14.632882
Hotel Room,777.24,81.5,6.4,1.9,4.0,Pull-out Sofa,0,1.9,20,445.1,Chicago,32.300817
Entire Home/Apt,200.96,70.8,8.8,4.6,2.5,Real Bed,0,1.8,0,11.5,Los Angeles,30.032122
Hotel Room,629.71,58.3,1.4,2.6,4.6,Airbed,0,1.4,165,336.5,Los Angeles,37.407519
Shared Room,178.59,99.3,4.5,3.3,1.7,Airbed,0,2.9,59,275.7,San Francisco,43.105429
Shared Room,763.81,91.0,2.4,4.3,2.2,Futon,0,2.9,75,475.4,Chicago,18.52985
Private Room,674.11,64.1,7.3,1.8,3.2,Airbed,1,2.5,90,129.3,Chicago,33.380767
Entire Home/Apt,958.78,53.5,2.0,4.1,2.3,Couch,1,1.6,206,429.4,New York,40.300004
Hotel Room,115.51,52.8,7.0,3.4,2.7,Futon,1,1.5,87,154.5,New York,35.265421
Private Room,104.2,56.0,3.6,4.6,3.0,Airbed,1,3.0,81,214.9,Chicago,46.184644
Hotel Room,318.08,79.0,2.8,1.7,4.4,Real Bed,0,1.1,16,106.6,New York,25.239685
Hotel Room,298.62,96.4,9.4,2.7,3.1,Airbed,1,2.7,328,431.8,New York,40.329389
Private Room,284.63,74.8,1.2,4.3,2.4,Real Bed,1,1.7,209,97.7,Los Angeles,45.577328
Private Room,910.94,92.1,4.9,1.1,2.0,Real Bed,0,1.8,311,429.5,San Francisco,28.295591
Private Room,287.07,72.3,1.2,1.4,2.6,Airbed,1,2.7,52,227.8,Los Angeles,1.847383
Private Room,308.35,85.4,5.4,5.0,3.1,Real Bed,0,1.2,127,417.5,New York,41.08241
Private Room,771.43,86.6,5.5,2.1,4.0,Pull-out Sofa,1,1.7,145,132.2,Los Angeles,42.455665
Hotel Room,477.25,58.7,3.9,4.9,1.5,Futon,1,2.9,303,66.4,Los Angeles,20.592682
Private Room,787.88,68.1,2.2,1.7,1.9,Airbed,0,2.4,309,277.5,Seattle,12.224826
Entire Home/Apt,112.1,81.9,4.4,2.4,2.5,Pull-out Sofa,1,2.5,247,254.7,Los Angeles,48.929314
Shared Room,513.19,53.5,7.1,4.0,2.4,Real Bed,1,2.5,0,178.3,Los Angeles,28.029556
Private Room,81.93,68.1,8.0,3.6,2.6,Real Bed,1,1.1,40,331.4,San Francisco,26.292805
Private Room,109.52,76.7,5.8,3.3,4.2,Futon,1,1.4,72,47.6,Chicago,47.35764
Hotel Room,911.12,99.8,6.3,3.1,2.3,Pull-out Sofa,0,2.0,159,311.0,Seattle,20.996759
Private Room,182.28,73.7,2.8,4.4,3.0,Pull-out Sofa,1,1.7,211,105.9,Seattle,42.558664
Private Room,555.8,90.8,3.6,1.9,3.5,Airbed,0,1.8,332,64.5,Seattle,35.331903
Private Room,440.54,71.6,2.5,2.8,1.9,Real Bed,0,2.6,295,454.8,Seattle,48.418053
Hotel Room,379.98,89.8,3.2,1.6,3.9,Couch,1,1.0,138,229.9,San Francisco,22.003896
Private Room,904.84,79.8,3.0,3.4,3.2,Airbed,0,2.3,303,381.7,Chicago,45.473669
Shared Room,70.73,94.3,5.7,2.0,2.8,Airbed,1,1.0,42,44.6,San Francisco,28.875155
Hotel Room,680.6,70.5,6.1,2.3,4.2,Airbed,0,1.1,178,28.7,Seattle,24.317947
Shared Room,965.22,80.2,9.5,2.9,2.0,Futon,0,1.8,188,247.4,Chicago,15.977514
Hotel Room,582.16,81.5,2.8,1.1,4.5,Futon,0,2.7,245,157.8,San Francisco,28.082203
Private Room,939.98,70.9,6.8,1.4,3.2,Airbed,0,1.3,297,2.5,Chicago,29.055045
Shared Room,99.64,57.2,8.4,3.7,3.4,Couch,1,2.1,153,91.6,San Francisco,45.021166
Hotel Room,447.85,54.7,6.0,2.7,4.5,Pull-out Sofa,1,2.4,103,109.4,Chicago,35.499044
Entire Home/Apt,297.15,50.8,3.3,4.5,4.3,Pull-out Sofa,1,1.5,10,144.3,San Francisco,41.497209
Private Room,744.28,93.7,3.4,3.8,3.4,Real Bed,1,2.0,24,438.8,Seattle,38.687372
Hotel Room,982.23,61.8,1.4,1.0,4.0,Pull-out Sofa,0,2.8,295,210.3,Seattle,14.555681
Entire Home/Apt,293.7,60.6,3.7,3.5,2.7,Pull-out Sofa,1,2.0,24,339.7,Seattle,11.084081
Hotel Room,671.47,86.8,7.7,1.4,3.2,Couch,1,1.3,83,9.2,San Francisco,13.665586
Entire Home/Apt,238.19,66.0,1.4,4.1,1.2,Pull-out Sofa,1,2.3,105,407.0,Chicago,8.182392
Private Room,587.06,75.3,3.0,5.0,1.4,Couch,0,2.2,240,120.2,Chicago,19.912134
Shared Room,490.74,58.1,7.4,3.1,4.3,Futon,0,1.1,118,154.5,New York,33.041135
Entire Home/Apt,973.41,98.0,8.0,3.7,1.2,Couch,0,1.2,107,22.6,Los Angeles,27.311897
Hotel Room,628.1,92.6,5.1,1.9,1.7,Futon,0,1.3,329,204.8,Seattle,34.281502
Private Room,382.03,93.2,7.3,2.8,4.2,Couch,0,1.3,179,426.3,Seattle,18.448824
Entire Home/Apt,158.39,70.3,4.5,4.4,1.0,Airbed,1,1.5,130,189.4,Seattle,11.058612
Hotel Room,193.68,88.1,2.4,1.7,2.1,Futon,0,1.9,294,454.3,New York,10.935149
Hotel Room,264.05,57.2,4.6,2.1,3.3,Futon,1,1.7,90,433.7,New York,30.442265
Hotel Room,288.42,50.4,6.2,2.8,3.4,Pull-out Sofa,0,2.8,240,31.0,New York,9.050443
Entire Home/Apt,858.09,51.0,9.5,3.8,4.1,Futon,0,2.2,246,152.6,Seattle,20.461191
Entire Home/Apt,583.16,79.3,1.6,2.5,3.0,Couch,0,2.8,167,455.2,Chicago,11.428804
Entire Home/Apt,547.22,72.8,5.6,4.7,3.0,Airbed,0,2.1,222,14.9,Seattle,33.475259
Shared Room,159.03,75.9,4.0,1.4,3.9,Airbed,0,1.2,277,382.9,New York,31.155621
Entire Home/Apt,867.13,50.4,5.6,2.5,3.0,Pull-out Sofa,0,1.9,189,453.2,New York,19.675123
Entire Home/Apt,736.67,71.1,1.2,3.8,3.4,Couch,1,2.6,18,385.2,Los Angeles,7.307158
Entire Home/Apt,114.28,85.9,3.8,1.9,4.6,Couch,0,1.4,13,371.9,San Francisco,11.379024
Shared Room,722.44,72.1,8.4,3.6,2.6,Real Bed,0,1.2,242,421.7,Los Angeles,24.138244
Entire Home/Apt,566.36,86.6,6.0,1.7,2.5,Futon,1,1.7,108,332.9,Los Angeles,48.632039
Hotel Room,127.64,61.7,5.1,1.2,1.0,Pull-out Sofa,0,1.8,189,211.5,Seattle,14.267963
Entire Home/Apt,485.39,90.7,3.6,1.5,3.5,Airbed,0,1.6,217,31.4,San Francisco,10.368327
Hotel Room,510.46,79.4,3.7,4.7,1.1,Real Bed,1,1.3,298,394.0,San Francisco,11.813487
Hotel Room,207.49,60.5,4.4,3.2,3.0,Couch,1,1.5,310,452.6,Seattle,35.698818
Hotel Room,948.41,61.8,8.5,4.2,4.2,Futon,0,2.4,235,255.8,Chicago,45.819524
Shared Room,857.48,81.4,9.7,2.3,3.2,Airbed,0,1.8,167,266.3,Seattle,4.68341
Shared Room,685.57,91.5,4.9,3.4,2.1,Real Bed,0,2.3,267,201.6,Chicago,37.715139
Shared Room,489.18,70.8,4.5,3.0,4.1,Couch,0,2.1,192,428.4,Chicago,25.235727
Entire Home/Apt,441.18,62.9,8.6,4.8,2.1,Airbed,0,2.1,241,7.4,San Francisco,41.434333
Hotel Room,668.42,93.4,4.8,4.0,3.9,Airbed,0,1.5,161,312.3,Seattle,21.653761
Shared Room,568.16,83.5,6.0,3.9,3.4,Couch,1,2.0,363,453.7,Seattle,1.255596
Shared Room,109.16,72.4,3.1,1.2,1.7,Couch,1,1.0,338,51.6,San Francisco,34.457022
Entire Home/Apt,536.88,74.4,7.7,3.2,4.6,Pull-out Sofa,1,1.9,278,479.6,Los Angeles,40.5906
Shared Room,816.08,60.2,5.8,2.9,1.8,Airbed,1,2.1,134,483.8,Seattle,45.199034
Entire Home/Apt,486.28,81.3,8.3,4.7,5.0,Couch,0,1.4,192,464.9,New York,28.883513
Private Room,99.36,67.9,8.0,2.0,1.0,Real Bed,1,1.5,88,231.3,New York,6.980377
Shared Room,796.96,99.8,2.9,2.1,2.1,Futon,0,1.4,41,191.5,Seattle,19.121898
Private Room,241.3,74.0,7.4,2.6,1.8,Pull-out Sofa,0,1.1,92,353.0,Chicago,39.428262
Entire Home/Apt,295.69,74.3,8.2,2.0,1.1,Couch,1,1.7,214,159.3,San Francisco,25.226235
Hotel Room,206.47,78.3,4.1,1.5,3.9,Futon,0,3.0,348,34.2,Chicago,35.26298
Shared Room,363.7,95.8,2.6,4.4,3.8,Pull-out Sofa,1,1.7,0,450.7,New York,1.229794
Entire Home/Apt,768.91,90.0,1.0,3.2,4.2,Airbed,1,1.9,334,317.4,New York,4.577115
Hotel Room,543.42,72.6,5.1,4.4,2.0,Futon,1,2.3,163,103.6,San Francisco,34.377017
Hotel Room,244.64,85.9,4.2,4.3,2.8,Pull-out Sofa,1,2.3,105,9.2,New York,15.219892
Private Room,883.94,79.3,6.0,2.1,3.6,Couch,1,2.9,231,361.8,Los Angeles,20.021148
Entire Home/Apt,885.6,74.6,2.7,3.2,2.8,Couch,0,2.7,45,426.4,New York,32.464513
Hotel Room,877.05,59.6,8.7,1.3,3.8,Pull-out Sofa,1,2.6,204,202.8,Chicago,6.48871
Shared Room,276.86,73.2,3.3,4.7,3.5,Airbed,0,2.9,20,40.4,Chicago,41.802709
Shared Room,478.68,62.3,3.0,2.6,1.5,Pull-out Sofa,0,1.5,176,324.3,Los Angeles,8.077279
Private Room,985.74,95.7,5.3,2.6,4.1,Real Bed,0,2.2,166,148.5,Chicago,36.930845
Hotel Room,783.41,66.8,5.5,2.2,3.9,Pull-out Sofa,0,2.8,293,72.0,Chicago,15.344817
Entire Home/Apt,75.81,97.6,2.9,2.8,3.6,Pull-out Sofa,1,2.2,264,255.2,Chicago,13.738577
Shared Room,111.94,76.7,3.4,2.0,1.6,Couch,0,3.0,275,240.9,Seattle,41.24197
Hotel Room,490.73,81.6,2.5,2.5,2.1,Airbed,1,1.2,339,258.4,Los Angeles,28.057886
Hotel Room,913.76,77.1,7.5,4.2,2.6,Pull-out Sofa,0,1.9,7,412.0,Los Angeles,11.069391
Private Room,561.77,56.5,7.9,4.3,2.1,Futon,1,3.0,269,242.3,New York,1.124766
Shared Room,522.92,68.8,5.2,2.2,1.9,Couch,1,1.8,317,450.3,Los Angeles,48.678709
Shared Room,150.2,55.0,7.4,2.9,4.2,Couch,1,2.5,211,420.9,San Francisco,22.137923
Entire Home/Apt,673.94,81.1,7.6,4.5,3.6,Pull-out Sofa,1,1.1,162,325.6,Los Angeles,20.473717
Shared Room,831.0,72.3,2.2,1.2,3.3,Futon,1,2.4,310,28.4,San Francisco,3.465415
Entire Home/Apt,411.4,88.9,9.7,4.6,1.9,Pull-out Sofa,0,2.9,44,432.5,Chicago,44.82577
Shared Room,786.83,61.0,8.4,1.9,4.7,Futon,0,1.8,232,452.8,San Francisco,7.888797
Private Room,966.25,58.2,2.8,3.7,1.8,Couch,0,1.0,52,187.5,Seattle,17.43733
Shared Room,243.58,70.3,2.7,3.3,4.2,Futon,0,1.1,232,263.1,Chicago,21.634091
Entire Home/Apt,547.16,96.3,2.1,3.2,4.9,Pull-out Sofa,1,2.8,341,140.5,San Francisco,40.695182
Entire Home/Apt,322.78,85.5,2.2,4.4,3.9,Real Bed,0,2.4,170,7.4,Chicago,18.613865
Private Room,803.21,70.9,7.7,1.4,5.0,Real Bed,0,1.2,5,239.7,Seattle,27.041665
Shared Room,598.71,75.9,5.2,2.4,3.6,Futon,0,1.1,43,64.7,Chicago,22.007842
Shared Room,652.85,54.2,8.0,3.2,1.9,Pull-out Sofa,0,2.6,90,91.7,Chicago,16.28039
Private Room,808.02,99.2,7.7,4.2,1.8,Airbed,0,2.6,195,240.4,Los Angeles,47.368851
Shared Room,426.17,83.3,6.4,1.9,2.3,Real Bed,1,1.2,3,433.5,New York,40.046964
Shared Room,919.34,64.3,7.2,4.2,1.0,Couch,1,1.6,120,422.3,San Francisco,9.543295
Entire Home/Apt,556.38,79.3,1.2,2.6,3.7,Pull-out Sofa,0,2.6,62,482.5,New York,28.18061
Shared Room,200.06,55.5,3.8,1.8,2.1,Pull-out Sofa,1,2.1,91,241.3,Seattle,40.031446
Shared Room,711.1,98.3,6.7,4.0,4.3,Real Bed,0,2.9,246,276.0,Seattle,29.409709
Private Room,803.6,58.7,1.1,1.4,2.4,Airbed,1,2.0,218,411.1,Chicago,25.195185
Private Room,350.92,82.4,1.3,3.1,2.9,Couch,1,2.4,336,349.8,New York,4.53091
Hotel Room,864.32,62.3,8.7,1.3,4.9,Airbed,0,2.0,230,91.4,San Francisco,6.197268
Entire Home/Apt,910.84,85.9,7.2,2.4,2.0,Couch,1,2.9,293,199.1,San Francisco,13.016737
Shared Room,313.06,88.8,3.4,3.4,3.9,Real Bed,0,1.8,187,464.6,Chicago,26.156438
Shared Room,984.35,83.7,7.2,3.2,4.0,Pull-out Sofa,0,1.5,307,73.1,San Francisco,49.377538
Hotel Room,183.68,80.7,8.1,2.6,1.9,Couch,1,1.7,167,104.7,Los Angeles,40.311043
Shared Room,241.91,94.6,3.8,2.7,3.0,Pull-out Sofa,1,2.7,263,200.3,New York,6.392499
Entire Home/Apt,225.01,53.9,1.3,1.9,2.4,Futon,1,2.0,104,469.9,Seattle,36.14571
Hotel Room,899.29,66.5,9.4,2.8,4.1,Futon,1,1.7,223,56.9,San Francisco,40.713096
Entire Home/Apt,671.58,62.4,4.1,4.8,3.5,Real Bed,0,2.1,114,336.5,San Francisco,21.298901
Hotel Room,194.5,99.4,2.0,4.4,2.9,Real Bed,0,1.3,234,66.1,San Francisco,17.177234
Hotel Room,468.31,69.5,5.4,1.6,4.1,Real Bed,0,1.0,271,262.3,Chicago,29.64614
Private Room,634.53,86.6,7.9,1.1,1.9,Futon,0,1.6,273,268.3,Seattle,26.438524
Entire Home/Apt,129.29,84.2,3.0,4.7,4.0,Couch,0,2.2,229,21.3,New York,13.995467
Shared Room,888.3,60.6,3.4,3.1,4.5,Airbed,0,2.4,216,477.1,San Francisco,20.471514
Shared Room,813.42,61.9,3.2,3.2,4.5,Real Bed,1,2.7,33,403.3,Los Angeles,27.677438
Entire Home/Apt,529.95,64.1,9.9,4.1,4.1,Airbed,0,2.9,196,151.4,Chicago,29.416294
Shared Room,968.77,70.6,2.8,2.3,2.6,Airbed,0,1.8,316,65.3,New York,27.055727
Shared Room,446.87,61.7,6.2,2.9,4.9,Futon,1,2.5,213,172.8,San Francisco,42.459268
Entire Home/Apt,984.9,51.0,9.3,4.9,2.5,Couch,1,1.1,45,447.1,New York,2.555507
Hotel Room,684.52,94.0,2.3,3.7,3.6,Futon,0,1.1,332,66.3,Chicago,17.3162
Entire Home/Apt,652.94,98.3,9.7,1.6,1.6,Real Bed,0,1.2,239,174.7,Los Angeles,37.741847
Hotel Room,207.66,67.1,9.5,1.5,4.9,Futon,1,1.9,253,247.2,San Francisco,32.937348
Shared Room,887.83,66.9,9.0,1.8,3.8,Futon,0,1.4,227,16.4,Los Angeles,45.995065
Shared Room,456.12,50.4,2.9,4.1,4.0,Futon,1,1.6,220,134.0,Chicago,29.81303
Shared Room,204.12,84.0,6.7,2.2,1.3,Real Bed,1,2.3,165,297.8,Los Angeles,32.269394
Private Room,61.98,91.3,7.8,1.1,4.1,Real Bed,1,1.7,72,162.0,Chicago,35.542411
Hotel Room,581.77,57.3,9.9,4.8,4.1,Futon,0,2.1,224,435.3,Los Angeles,10.123829
Private Room,551.03,58.0,2.6,1.7,3.7,Futon,0,1.8,85,468.4,New York,37.908957
Private Room,733.39,89.5,7.9,1.0,2.2,Airbed,1,1.3,80,220.8,New York,15.694592
Entire Home/Apt,895.75,80.8,4.0,1.9,3.0,Couch,1,1.1,214,266.0,Chicago,21.800558
Private Room,125.44,52.2,2.6,1.9,1.4,Airbed,0,1.5,163,315.4,New York,1.686319
Entire Home/Apt,744.92,81.1,4.8,2.7,2.9,Couch,0,1.1,239,332.3,Los Angeles,42.334731
Entire Home/Apt,228.04,65.4,8.1,4.7,2.0,Couch,0,2.2,68,31.6,Los Angeles,47.721152
Private Room,865.27,68.4,5.2,4.5,2.4,Futon,1,2.6,136,26.8,San Francisco,3.949357
Hotel Room,828.11,88.5,5.8,2.8,1.7,Airbed,1,1.7,151,432.8,Chicago,32.124809
Hotel Room,563.75,90.5,10.0,2.6,1.9,Couch,1,1.8,96,109.9,New York,48.078155
Hotel Room,724.73,70.0,4.6,3.2,1.3,Couch,0,2.6,157,292.1,Chicago,30.738139
Hotel Room,348.63,97.4,6.5,2.0,4.7,Real Bed,1,1.4,185,312.3,New York,40.099598
Hotel Room,497.61,70.3,4.3,1.2,3.1,Couch,1,1.2,167,82.2,San Francisco,6.78831
Private Room,830.56,88.6,4.5,4.8,2.6,Futon,1,2.0,243,380.8,Los Angeles,12.997639
Private Room,486.3,74.2,7.3,1.7,3.1,Pull-out Sofa,0,2.3,118,433.0,Los Angeles,17.941008
Shared Room,389.91,94.9,9.4,1.8,3.5,Real Bed,1,2.2,195,142.7,Seattle,49.077166
Hotel Room,519.5,95.4,5.9,2.9,4.7,Pull-out Sofa,1,2.4,287,438.9,Chicago,39.307121
Private Room,836.84,54.4,7.9,3.0,1.7,Futon,0,1.1,64,40.5,New York,44.397481
Shared Room,368.45,96.8,1.8,1.1,2.2,Pull-out Sofa,1,1.9,161,400.2,Seattle,24.866745
Hotel Room,215.07,91.3,2.9,1.6,4.9,Couch,0,1.5,84,320.1,Chicago,36.123462
Entire Home/Apt,726.41,89.6,5.5,2.5,2.5,Pull-out Sofa,0,2.5,58,291.6,New York,36.846682
Shared Room,834.68,60.0,1.2,3.7,1.1,Airbed,1,2.7,281,115.1,San Francisco,28.87723
Private Room,145.61,90.3,3.3,1.9,1.6,Futon,0,1.6,149,180.9,Chicago,44.020488
Entire Home/Apt,277.88,92.5,5.7,2.7,1.1,Airbed,1,1.2,120,455.2,New York,8.75431
Entire Home/Apt,184.87,64.5,1.1,3.2,5.0,Pull-out Sofa,0,1.5,268,232.9,Los Angeles,3.818465
Entire Home/Apt,380.54,97.6,3.4,4.6,2.1,Airbed,1,1.2,254,297.2,Chicago,15.898768
Shared Room,477.83,52.5,5.6,2.3,4.7,Real Bed,0,1.6,223,467.9,New York,5.325319
Private Room,761.39,57.5,6.2,1.5,5.0,Pull-out Sofa,0,2.1,54,233.2,Los Angeles,3.955492
Entire Home/Apt,668.59,76.9,9.3,3.0,3.4,Airbed,0,2.9,135,194.1,Los Angeles,21.5354
